"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
6,120,0.2692302
6,135,0.2591414
6,150,0.2478558
6,165,0.2372392
6,180,0.2280289
6,195,0.2203445
6,210,0.2140227
6,225,0.2088102
6,240,0.204458
6,255,0.2007578
6,270,0.197549
6,285,0.1947134
6,300,0.1921656
6,315,0.1898447
6,330,0.187707
6,345,0.1857207
6,360,0.1838622
6,375,0.1821139
6,390,0.180462
6,405,0.1788956
6,420,0.177406
6,435,0.1759859
6,450,0.1746293
6,465,0.1733311
6,480,0.1720869
6,495,0.1708929
6,510,0.1697456
6,525,0.1686421
6,540,0.1675798
6,555,0.1665562
6,570,0.1655692
6,585,0.1646167
6,600,0.1636969
6,615,0.162808
6,630,0.1619485
6,645,0.1611169
6,660,0.1603117
6,675,0.1595315
6,690,0.1587752
6,705,0.1580414
6,720,0.157329
6,735,0.1566368
6,750,0.1559638
6,765,0.1553089
6,780,0.1546711
6,795,0.1540495
6,810,0.153443
6,825,0.1528508
6,840,0.152272
6,855,0.1517058
6,870,0.1511512
6,885,0.1506076
6,900,0.1500741
6,915,0.1495499
6,930,0.1490345
6,945,0.1485269
6,960,0.1480267
6,975,0.147533
6,990,0.1470454
6,1005,0.1465631
6,1020,0.1460856
6,1035,0.1456124
6,1050,0.1451428
6,1065,0.1446763
6,1080,0.1442125
6,1095,0.1437509
6,1110,0.1432909
6,1125,0.1428322
6,1140,0.1423743
6,1155,0.1419168
6,1170,0.1414593
6,1185,0.1410015
6,1200,0.140543
6,1215,0.1400834
6,1230,0.1396225
6,1245,0.1391599
6,1260,0.1386954
6,1275,0.1382286
6,1290,0.1377594
6,1305,0.1372874
6,1320,0.1368125
6,1335,0.1363344
6,1350,0.135853
6,1365,0.1353681
6,1380,0.1348794
6,1395,0.1343869
6,1410,0.1338904
6,1425,0.1333897
6,1440,0.1328847
7,0,0
7,3,2.900529E-07
7,6,1.290755E-05
7,9,9.385007E-05
7,12,0.0003513152
7,15,0.0009273951
7,18,0.001969743
7,21,0.003605822
7,24,0.005926108
7,27,0.008976503
7,30,0.01275819
7,33,0.0172321
7,36,0.02232619
7,39,0.02794394
7,42,0.033973
7,45,0.0402932
7,48,0.04678353
7,51,0.05332763
7,54,0.05981807
7,57,0.0661593
7,60,0.07226938
7,63,0.0780808
7,66,0.08354045
7,69,0.08860908
7,72,0.09326025
7,75,0.09747908
7,78,0.1012608
7,81,0.1046091
7,84,0.1075351
7,87,0.1100553
7,90,0.1121907
7,93,0.1139657
7,96,0.1154065
7,99,0.1165408
7,102,0.1173969
7,105,0.1180025
7,108,0.1183851
7,111,0.118571
7,114,0.1185852
7,117,0.1184509
7,120,0.11819
7,135,0.1156213
7,150,0.112156
7,165,0.108771
7,180,0.1058711
7,195,0.1035531
7,210,0.101775
7,225,0.1004468
7,240,0.09947405
7,255,0.09877482
7,270,0.09828388
7,285,0.0979517
7,300,0.09774165
7,315,0.09762697
7,330,0.09758815
7,345,0.09761091
7,360,0.09768464
7,375,0.09780136
7,390,0.09795494
7,405,0.0981405
7,420,0.09835415
7,435,0.0985926
7,450,0.09885312
7,465,0.09913329
7,480,0.09943102
7,495,0.09974441
7,510,0.1000717
7,525,0.1004114
7,540,0.100762
7,555,0.1011222
7,570,0.1014906
7,585,0.1018661
7,600,0.1022475
7,615,0.1026338
7,630,0.1030239
7,645,0.1034169
7,660,0.1038118
7,675,0.1042076
7,690,0.1046036
7,705,0.104999
7,720,0.1053928
7,735,0.1057844
7,750,0.106173
7,765,0.106558
7,780,0.1069386
7,795,0.1073141
7,810,0.1076841
7,825,0.1080478
7,840,0.1084047
7,855,0.1087543
7,870,0.109096
7,885,0.1094293
7,900,0.1097538
7,915,0.110069
7,930,0.1103744
7,945,0.1106696
7,960,0.1109543
7,975,0.1112281
7,990,0.1114906
7,1005,0.1117415
7,1020,0.1119805
7,1035,0.1122073
7,1050,0.1124217
7,1065,0.1126233
7,1080,0.112812
7,1095,0.1129875
7,1110,0.1131497
7,1125,0.1132983
7,1140,0.1134333
7,1155,0.1135543
7,1170,0.1136614
7,1185,0.1137544
7,1200,0.1138332
7,1215,0.1138978
7,1230,0.113948
7,1245,0.1139838
7,1260,0.1140052
7,1275,0.1140121
7,1290,0.1140045
7,1305,0.1139824
7,1320,0.1139459
7,1335,0.1138949
7,1350,0.1138295
7,1365,0.1137498
7,1380,0.1136557
7,1395,0.1135474
7,1410,0.1134249
7,1425,0.1132883
7,1440,0.1131378
8,0,0
8,3,4.047435E-08
8,6,1.885851E-06
8,9,1.42387E-05
8,12,5.555242E-05
8,15,0.0001528135
8,18,0.0003372422
8,21,0.0006390525
8,24,0.001083156
8,27,0.001686519
8,30,0.002457048
8,33,0.003393641
8,36,0.004487076
8,39,0.005721428
8,42,0.007075704
8,45,0.008525564
8,48,0.01004496
8,51,0.01160758
8,54,0.01318803
8,57,0.01476274
8,60,0.01631064
8,63,0.01781353
8,66,0.01925627
8,69,0.02062683
8,72,0.02191613
8,75,0.02311791
8,78,0.02422837
8,81,0.02524598
8,84,0.02617107
8,87,0.02700559
8,90,0.02775274
8,93,0.02841673
8,96,0.02900252
8,99,0.02951554
8,102,0.02996154
8,105,0.03034637
8,108,0.03067588
8,111,0.03095575
8,114,0.03119143
8,117,0.03138808
8,120,0.03155047
8,135,0.03198901
8,150,0.03206977
8,165,0.03200376
8,180,0.03188234
8,195,0.03173953
8,210,0.03158679
8,225,0.03142837
8,240,0.0312668
8,255,0.03110439
8,270,0.0309434
8,285,0.03078587
8,300,0.03063352
8,315,0.03048773
8,330,0.0303495
8,345,0.03021957
8,360,0.03009838
8,375,0.02998618
8,390,0.02988308
8,405,0.02978904
8,420,0.02970392
8,435,0.02962754
8,450,0.02955964
8,465,0.02949993
8,480,0.0294481
8,495,0.02940381
8,510,0.02936673
8,525,0.02933649
8,540,0.02931276
8,555,0.02929517
8,570,0.02928337
8,585,0.02927704
8,600,0.02927581
8,615,0.02927936
8,630,0.02928737
8,645,0.02929951
8,660,0.02931547
8,675,0.02933495
8,690,0.02935765
8,705,0.02938327
8,720,0.02941154
8,735,0.02944219
8,750,0.02947494
8,765,0.02950954
8,780,0.02954574
8,795,0.02958329
8,810,0.02962196
8,825,0.02966151
8,840,0.02970173
8,855,0.02974239
8,870,0.02978331
8,885,0.02982426
8,900,0.02986507
8,915,0.02990554
8,930,0.02994549
8,945,0.02998476
8,960,0.03002318
8,975,0.03006058
8,990,0.03009683
8,1005,0.03013176
8,1020,0.03016524
8,1035,0.03019715
8,1050,0.03022735
8,1065,0.03025572
8,1080,0.03028215
8,1095,0.03030653
8,1110,0.03032876
8,1125,0.03034874
8,1140,0.03036638
8,1155,0.0303816
8,1170,0.03039431
8,1185,0.03040444
8,1200,0.03041192
8,1215,0.03041668
8,1230,0.03041868
8,1245,0.03041784
8,1260,0.03041413
8,1275,0.03040749
8,1290,0.03039789
8,1305,0.03038529
8,1320,0.03036965
8,1335,0.03035095
8,1350,0.03032917
8,1365,0.03030428
8,1380,0.03027626
8,1395,0.03024511
8,1410,0.03021082
8,1425,0.03017337
8,1440,0.03013276
9,0,0
9,3,1.782832E-08
9,6,9.366457E-07
9,9,7.504782E-06
9,12,3.028993E-05
9,15,8.504729E-05
9,18,0.0001899511
9,21,0.00036219
9,24,0.0006153206
9,27,0.000957828
9,30,0.001392714
9,33,0.001917825
9,36,0.002526647
9,39,0.003209293
9,42,0.003953573
9,45,0.004746015
9,48,0.005572752
9,51,0.006420243
9,54,0.007275826
9,57,0.008128089
9,60,0.0089671
9,63,0.00978451
9,66,0.01057357
9,69,0.01132905
9,72,0.01204715
9,75,0.01272535
9,78,0.01336226
9,81,0.01395742
9,84,0.0145112
9,87,0.01502458
9,90,0.01549906
9,93,0.0159365
9,96,0.01633903
9,99,0.01670894
9,102,0.01704859
9,105,0.01736037
9,108,0.01764662
9,111,0.01790961
9,114,0.0181515
9,117,0.01837432
9,120,0.01857995
9,135,0.01940616
9,150,0.02000439
9,165,0.02046925
9,180,0.02085145
9,195,0.02117822
9,210,0.02146511
9,225,0.02172188
9,240,0.02195533
9,255,0.02217052
9,270,0.02237141
9,285,0.02256116
9,300,0.02274234
9,315,0.02291699
9,330,0.02308681
9,345,0.02325314
9,360,0.02341708
9,375,0.0235795
9,390,0.0237411
9,405,0.02390243
9,420,0.02406393
9,435,0.02422591
9,450,0.02438864
9,465,0.02455229
9,480,0.02471698
9,495,0.02488278
9,510,0.02504974
9,525,0.02521784
9,540,0.02538707
9,555,0.02555738
9,570,0.02572869
9,585,0.02590092
9,600,0.02607397
9,615,0.02624772
9,630,0.02642207
9,645,0.02659688
9,660,0.02677202
9,675,0.02694735
9,690,0.02712273
9,705,0.02729801
9,720,0.02747305
9,735,0.0276477
9,750,0.02782182
9,765,0.02799525
9,780,0.02816784
9,795,0.02833946
9,810,0.02850995
9,825,0.02867917
9,840,0.02884698
9,855,0.02901324
9,870,0.02917781
9,885,0.02934057
9,900,0.02950137
9,915,0.0296601
9,930,0.02981663
9,945,0.02997083
9,960,0.03012259
9,975,0.03027179
9,990,0.03041833
9,1005,0.0305621
9,1020,0.030703
9,1035,0.03084093
9,1050,0.0309758
9,1065,0.0311075
9,1080,0.03123597
9,1095,0.03136111
